LocationID,borough,zone,service_zone,latitude,longitude
1,EWR,Newark Airport,EWR,40.691831206401325,-74.17400027276304
2,Queens,Jamaica Bay,Boro Zone,40.61674529165964,-73.83129854302214
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86447368477528,-73.84742223236724
4,Manhattan,Alphabet City,Yellow Zone,40.723752141584605,-73.97696825691771
5,Staten Island,Arden Heights,Boro Zone,40.552659286945484,-74.18848410184933
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.600324146034424,-74.07177055895134
7,Queens,Astoria,Boro Zone,40.761492562163575,-73.9196943194606
8,Queens,Astoria Park,Boro Zone,40.778558653750515,-73.9230861575075
9,Queens,Auburndale,Boro Zone,40.75103502557215,-73.78794887777897
10,Queens,Baisley Park,Boro Zone,40.678953310115105,-73.79098635986959
11,Brooklyn,Bath Beach,Boro Zone,40.60427284003061,-74.0074881580118
12,Manhattan,Battery Park,Yellow Zone,40.70294583498452,-74.01556351255894
13,Manhattan,Battery Park City,Yellow Zone,40.7120381570743,-74.01607915192928
14,Brooklyn,Bay Ridge,Boro Zone,40.624834923608034,-74.0298923741879
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.783333047260804,-73.7859722787769
16,Queens,Bayside,Boro Zone,40.76273837544223,-73.77342181890138
17,Brooklyn,Bedford,Boro Zone,40.69150749488049,-73.9499050350751
18,Bronx,Bedford Park,Boro Zone,40.867682456075244,-73.89018328872032
19,Queens,Bellerose,Boro Zone,40.73548677976314,-73.7266553752871
20,Bronx,Belmont,Boro Zone,40.85777967544138,-73.88586748106965
21,Brooklyn,Bensonhurst East,Boro Zone,40.60142943983495,-73.98353709672229
22,Brooklyn,Bensonhurst West,Boro Zone,40.61221825780545,-73.99525857986231
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.606447701027435,-74.17088688155239
24,Manhattan,Bloomingdale,Yellow Zone,40.80197049389944,-73.96547951516969
25,Brooklyn,Boerum Hill,Boro Zone,40.68563374132041,-73.98611382213656
26,Brooklyn,Borough Park,Boro Zone,40.63094965524529,-73.98866123078284
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.559133279467304,-73.90690832237578
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.711596357944856,-73.80872901637512
29,Brooklyn,Brighton Beach,Boro Zone,40.58092197193366,-73.96121676866859
30,Queens,Broad Channel,Boro Zone,40.603687442135495,-73.82192695679421
31,Bronx,Bronx Park,Boro Zone,40.8577466809157,-73.87547595053042
32,Bronx,Bronxdale,Boro Zone,40.86400220602343,-73.86490099876723
33,Brooklyn,Brooklyn Heights,Boro Zone,40.69579822121106,-73.99525011996619
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.70085573851694,-73.97118869233043
35,Brooklyn,Brownsville,Boro Zone,40.66400311792584,-73.91025783136139
36,Brooklyn,Bushwick North,Boro Zone,40.700522199519014,-73.9177105313158
37,Brooklyn,Bushwick South,Boro Zone,40.69499431844193,-73.92224002165723
38,Queens,Cambria Heights,Boro Zone,40.694341467231574,-73.7355542705882
39,Brooklyn,Canarsie,Boro Zone,40.638037139116875,-73.89973495669386
40,Brooklyn,Carroll Gardens,Boro Zone,40.67919901409691,-73.99595619089148
41,Manhattan,Central Harlem,Boro Zone,40.80433394979441,-73.95129200243512
42,Manhattan,Central Harlem North,Boro Zone,40.818257861119044,-73.94077166756259
43,Manhattan,Central Park,Yellow Zone,40.78247809974771,-73.96555356545902
44,Staten Island,Charleston/Tottenville,Boro Zone,40.52549458176353,-74.23353354937635
45,Manhattan,Chinatown,Yellow Zone,40.712459311779305,-73.99815149899048
46,Bronx,City Island,Boro Zone,40.84908594313953,-73.78198714613214
47,Bronx,Claremont/Bathgate,Boro Zone,40.84274917609785,-73.9003159058649
48,Manhattan,Clinton East,Yellow Zone,40.76225275531918,-73.98984464313304
49,Brooklyn,Clinton Hill,Boro Zone,40.68796745714726,-73.96236353818354
50,Manhattan,Clinton West,Yellow Zone,40.766237725041684,-73.99513522075519
51,Bronx,Co-Op City,Boro Zone,40.87397305492007,-73.82826367307185
52,Brooklyn,Cobble Hill,Boro Zone,40.686651241655895,-73.99672403175194
53,Queens,College Point,Boro Zone,40.780912355790846,-73.84281349543177
54,Brooklyn,Columbia Street,Boro Zone,40.687200747337066,-74.00291127745284
55,Brooklyn,Coney Island,Boro Zone,40.576960753637636,-73.98794343407191
56,Queens,Corona,Boro Zone,40.742350290524925,-73.85836829104208
57,Queens,Corona,Boro Zone,40.746959,-73.860146
58,Bronx,Country Club,Boro Zone,40.84145210068239,-73.82039319252783
59,Bronx,Crotona Park,Boro Zone,40.83855028852773,-73.89498588493974
60,Bronx,Crotona Park East,Boro Zone,40.83399047727366,-73.88590003419158
61,Brooklyn,Crown Heights North,Boro Zone,40.67446941826626,-73.93928705867955
62,Brooklyn,Crown Heights South,Boro Zone,40.666540405785405,-73.94878853931495
63,Brooklyn,Cypress Hills,Boro Zone,40.683839761950836,-73.8781726105025
64,Queens,Douglaston,Boro Zone,40.76061560532126,-73.73933714992855
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.69533752946099,-73.98608600498393
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.702258938822254,-73.98570161582285
67,Brooklyn,Dyker Heights,Boro Zone,40.61961946783493,-74.01380148744016
68,Manhattan,East Chelsea,Yellow Zone,40.74842755506554,-73.99991742024714
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.831416697085025,-73.91502929553278
70,Queens,East Elmhurst,Boro Zone,40.76335220113299,-73.8683955984202
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.64428817438895,-73.93796627061685
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.65236480407725,-73.92225097400495
73,Queens,East Flushing,Boro Zone,40.754108886892794,-73.80729418212235
74,Manhattan,East Harlem North,Boro Zone,40.80116948058633,-73.937345608125
75,Manhattan,East Harlem South,Boro Zone,40.7900107514952,-73.94575026755157
76,Brooklyn,East New York,Boro Zone,40.66093519655039,-73.87682061127188
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.666558939035106,-73.8953641175033
78,Bronx,East Tremont,Boro Zone,40.8449604101459,-73.88552181587424
79,Manhattan,East Village,Yellow Zone,40.72762019590936,-73.98593745682466
